1,'48295.282 ms'
1,'47618.061 ms'
1,'46785.426 ms'
1,'46962.187 ms'
1,'46314.094 ms'
2,'24905.450 ms'
2,'7160.851 ms'
2,'6023.967 ms'
2,'6032.101 ms'
2,'6028.623 ms'
3,'60757.006 ms'
3,'63430.728 ms'
3,'51248.381 ms'
3,'26063.507 ms'
3,'26913.101 ms'
4,'35254.770 ms'
4,'21316.264 ms'
4,'15164.620 ms'
4,'17740.922 ms'
4,'17684.727 ms'
5,'39724.342 ms'
5,'18752.538 ms'
5,'15943.615 ms'
5,'17606.942 ms'
5,'16777.279 ms'
6,'92810.048 ms'
6,'86825.534 ms'
6,'34383.563 ms'
6,'33199.616 ms'
6,'33041.558 ms'
7,'71279.270 ms'
7,'54485.755 ms'
7,'32457.209 ms'
7,'30752.894 ms'
7,'30596.993 ms'
8,'56000.260 ms'
8,'38377.550 ms'
8,'22163.012 ms'
8,'20212.608 ms'
8,'24669.696 ms'
9,'385710.135 ms'
9,'376556.489 ms'
9,'381085.413 ms'
9,'389597.898 ms'
9,'373510.719 ms'
10,'93299.074 ms'
10,'39903.685 ms'
10,'31622.781 ms'
10,'30345.691 ms'
10,'29876.081 ms'
11,'16007.091 ms'
11,'3906.946 ms'
11,'3889.565 ms'
11,'3906.723 ms'
11,'3915.278 ms'
12,'50424.891 ms'
12,'50136.089 ms'
12,'49761.776 ms'
12,'50576.734 ms'
12,'52059.329 ms'
13,'82404.454 ms'
13,'65909.604 ms'
13,'65600.109 ms'
13,'65748.263 ms'
13,'65699.843 ms'
14,'64477.453 ms'
14,'17547.066 ms'
14,'3457.796 ms'
14,'3423.378 ms'
14,'3418.424 ms'
15,'236576.208 ms'
15,'31770.187 ms'
15,'31374.699 ms'
15,'27555.223 ms'
15,'30154.235 ms'
16,'29195.378 ms'
16,'13785.349 ms'
16,'13573.984 ms'
16,'13585.117 ms'
16,'13563.794 ms'
17,'223731.599 ms'
17,'189846.143 ms'
17,'201087.984 ms'
17,'202202.835 ms'
17,'220719.280 ms'
18,'492736.972 ms'
18,'362362.490 ms'
18,'402063.319 ms'
18,'369744.778 ms'
18,'322366.825 ms'
19,'12277.599 ms'
19,'782.048 ms'
19,'751.937 ms'
19,'745.578 ms'
19,'751.313 ms'
20,'145681.576 ms'
20,'27879.899 ms'
20,'12578.838 ms'
20,'6885.719 ms'
20,'8526.568 ms'
21,'63287.096 ms'
21,'43762.533 ms'
21,'44182.575 ms'
21,'46142.910 ms'
21,'41440.435 ms'
22,'28404.908 ms'
22,'5649.771 ms'
22,'5627.916 ms'
22,'5632.667 ms'
22,'5612.034 ms'
