1,'103923.678 ms'
1,'102735.418 ms'
1,'102739.989 ms'
2,'62254.426 ms'
2,'29520.835 ms'
2,'28786.052 ms'
3,'165446.041 ms'
3,'152699.810 ms'
3,'151054.565 ms'
4,'200186.542 ms'
4,'196425.012 ms'
4,'208118.949 ms'
5,'100152.851 ms'
5,'51358.882 ms'
5,'51076.754 ms'
6,'257673.765 ms'
6,'329340.129 ms'
6,'336206.540 ms'
7,'173608.106 ms'
7,'141765.761 ms'
7,'142071.590 ms'
8,'231744.650 ms'
8,'200045.671 ms'
8,'95760.899 ms'
9,'1249980.807 ms'
9,'1272749.512 ms'
9,'1270928.277 ms'
10,'265354.589 ms'
10,'264626.274 ms'
10,'269233.855 ms'
11,'30243.853 ms'
11,'7813.351 ms'
11,'7768.577 ms'
12,'105634.176 ms'
12,'88934.906 ms'
12,'87060.287 ms'
13,'225077.953 ms'
13,'189849.845 ms'
13,'189262.732 ms'
14,'198740.358 ms'
14,'143432.170 ms'
14,'11052.543 ms'
15,'908950.091 ms'
15,'483576.992 ms'
15,'491158.700 ms'
16,'57189.509 ms'
16,'41031.524 ms'
16,'29675.022 ms'
17,'583279.869 ms'
17,'420299.036 ms'
17,'404463.976 ms'
18,'518388.624 ms'
18,'777229.505 ms'
18,'804960.368 ms'
19,'39845.713 ms'
19,'3861.926 ms'
19,'1317.423 ms'
20,'819249.553 ms'
20,'417015.365 ms'
20,'358197.218 ms'
21,'264903.844 ms'
21,'182714.301 ms'
21,'152226.537 ms'
22,'68502.082 ms'
22,'53517.869 ms'
22,'52136.985 ms'
